编号,句子,实体1a,实体1b
3330,目前美国部署在韩国的“萨德”系统，以及日本从美国引进的陆基“宙斯盾”系统均只具有侦测中近程弹道导弹的能力。一旦美日就在日本部署HDR雷达达成协议，将显著增加美国侦测中俄战略导弹的能力，同时也是美国首次将具有侦测洲际导弹能力的反导预警系统部署在海外。,美国,“萨德”系统
3339,去年12月20日，韩国“广开土大王”号驱逐舰在日本海救援一艘朝鲜籍遇险渔船，日本海上自卫队一架兼具反潜和反舰作战功能的P-1型巡逻机飞临现场。日方指认韩方驱逐舰用火控雷达锁定日方巡逻机；韩方予以否认，并指认日方飞机作威胁性低空飞行。此后一个多月，韩国多次谴责日本战机在韩国军舰附近的低空飞行是“挑衅行为”，而日本断然否认韩国的指控。,韩国“广开土大王”号驱逐舰,朝鲜籍遇险渔船
3341,不具名的中国军事问题专家28日对《环球时报》表示，日本方面指控的“火控雷达锁定”往往意味着对抗的进一步升级。以去年12月20日发生的雷达锁定争议为例，当时韩方“广开土大王”号驱逐舰上搭载的对空雷达主要包括3种型号。第一种是美制AN/SPS-49（V）两坐标对空警戒雷达，主要负责对空警戒。两坐标是指可以探测出目标的距离和方位，但是不能测高、测速。这种雷达的探测精度较低，不能引导导弹进行攻击。第二种雷达为荷兰Signnal公司（现泰利斯公司）的MW08型对海对空搜索雷达，可以探测海上和空中目标，而且是一种三坐标雷达，可以探测目标的距离、方位和高度。第三种对空雷达为荷兰Signnal的STIR 180跟踪照射雷达，该雷达可以精确、连续跟踪目标，为舰载速射炮提供精确的、高数据率的参数，并能够为该舰半主动雷达制导的RIM-7P“海麻雀”防空导弹提供末段连续波照射任务。,韩方“广开土大王”号驱逐舰,对空雷达
3342,上述三种雷达中，SPS-49（V）和MW08雷达属于搜索雷达，而STIR 180雷达属于火控雷达。战舰通常以前两种雷达开机搜索跟踪目标，这两种雷达“锁定”目标属于常规操作。而火控雷达通常不开机对空照射，只有准备战斗时才会用来锁定目标。所以，在和平时期被火控雷达锁定或者照射，往往意味着威胁较大的敌对行动。但专家也表示，即便火控雷达照射，也并不意味着导弹可以随时发射，这还涉及到导弹的接电准备，安装保险插头等操作。因此，这种火控雷达照射，往往代表着一种警告。,PS-49（V）和MW08雷达,搜索雷达
3343,韩日两国“雷达锁定”争议发生以来，日本战机又三次抵近韩国军舰，最近一次在1月23日。韩联社称，韩军24日公布的一张日本海上自卫队P-3巡逻机前一日贴近飞行威胁韩国军舰的照片显示，日机从约60米高度低飞，距韩军“大祚荣”舰右舷仅540米。,日本海上自卫队P-3巡逻机,韩军“大祚荣”舰
3344,对于日本军机接近韩国军舰的行为，专家表示，日本P-1巡逻机上的电子侦察系统理论上是能根据不同雷达的频率等特征来识别是被哪种型号的雷达锁定。专家认为，由于日本巡逻机上装备了较为先进的光电跟踪装置等侦察器材，从需求上看，没必要在几百米距离、几十米高度飞越韩方舰艇。因此，正如韩国军方所言，日机的这种行为，放在全世界都会被认为是挑衅性行为。,日本巡逻机,光电跟踪装置等侦察器材
3350,【环球时报综合报道】俄罗斯国防部28日发布消息称，俄军一架苏-27战机升空拦截在波罗的海上空飞行的美军P-8A“波塞冬”侦察机。消息发布的时机耐人寻味。此前一天，北美防空司令部证实，美国和加拿大多架战机当地时间26日紧急起飞，“伴随”两架靠近北美海岸线的俄罗斯轰炸机。,俄军一架苏-27战机,美军P-8A“波塞冬”侦察机
3351,据俄罗斯卫星网28日报道，俄罗斯监视波罗的海中立水域上空的侦察设备发现一个空中目标接近俄罗斯边界。随后，俄防空值班部队出动了1架苏-27歼击机升空拦截。俄罗斯战机与这一空中目标保持着安全距离，并识别其为美国空军的P-8A“波塞冬”侦察机。外机随后飞离俄罗斯国境线，俄战机也安全地返回机场。消息中并未透露事件发生的具体日期。俄国防部28日稍晚时公布了苏-27战机在波罗的海上空伴随P-8A侦察机的视频。这段视频共17秒，从不同角度拍摄了美军侦察机。,架苏-27歼击机,美国空军的P-8A“波塞冬”侦察机
3352,本月24日，俄国防部发布消息称，瑞典一架“湾流”侦察机在波罗的海中立水域上空沿俄罗斯边境活动，俄军出动苏-27战斗机升空对其拦截。去年5月1日，在波罗的海的国际空域，俄罗斯一架苏-27战机也曾在9分钟时间内与美国海军一架P-8侦察机接近，并保持只有20英尺（约6米）的距离。美军方发言人事后描述此次拦截是“安全的，但不专业”。▲（刘鹏）,苏-27战斗机,瑞典一架“湾流”侦察机
3375,2014年至2016年期间，美国发射了4枚同步空间态势感知项目(GSSAP)卫星，协助空军监视太空。根据官方披露的信息，这些卫星在低于或高于地球静止轨道运行（35786公里高的圆形轨道），配备了光电仪器摄取其他卫星和空间目标的影像。,美国,同步空间态势感知项目(GSSAP)卫星
3379,新华社华盛顿1月26日电（记者刘阳）美国海军26日在西部城市圣迭戈为“迈克尔·蒙苏尔”号驱逐舰举行服役仪式，正式接收第二艘“朱姆沃尔特”级驱逐舰。,美国海军,第二艘“朱姆沃尔特”级驱逐舰
3380,“‘迈克尔·蒙苏尔’号是美国最具战斗力的武器之一。”美国海军部长理查德·斯潘塞在服役典礼前发布的一份声明中说。这艘驱逐舰舷号为DDG 1001。据了解，该舰长185米，排水量约为1.6万吨，航速可达30节(每小时55.6公里)以上。,“‘迈克尔·蒙苏尔’号,DDG 1001
3381,迈克尔·蒙苏尔是前海军海豹突击队成员，2006年在伊拉克执行任务时因保护战友阵亡。2008年，美国时任总统小布什追授蒙苏尔“荣誉勋章”，同年，时任美国海军部长温特宣布以蒙苏尔的名字命名当时正在建造的第二艘“朱姆沃尔特”级驱逐舰。,美国海军,第二艘“朱姆沃尔特”级驱逐舰
3382,“朱姆沃尔特”级驱逐舰是当今世界最先进的驱逐舰，具备良好隐形性能和强大的对地打击能力。美国一度计划用“朱姆沃尔特”级代替现役的“阿利·伯克”级驱逐舰，但由于前者建造成本和难度巨大，而且维护费用太高，因此将32艘的建造计划削减到3艘，平摊研发费用后每艘成本或达75亿美元。,“朱姆沃尔特”级,“阿利·伯克”级驱逐舰
3383,“朱姆沃尔特”级首舰已于2016年服役，该级第三艘“林登·约翰逊”号仍在建造中，预计于今年春天下水。,“朱姆沃尔特”级首舰,2016年
3388,韩国和日本在整个月内就2018年12月20日海上事件中的军方行动大打口水战。日本方面称韩国海军舰艇使用火控雷达锁定了日本海上自卫队的一架巡逻机。针对此事，东京向首尔提出了官方抗议。反之，韩国坚称彼时舰艇正在救援朝鲜船只，而日本飞机却飞越遇险水域，并据此要求日本正式道歉。,韩国海军舰艇,火控雷达
3389,在1月下旬又发生了新一轮的口水战，韩国声称日本海上自卫队的巡逻机在济州岛以南岩石岛附近的一艘韩国舰艇的上空进行了60-70米的低空飞行。,日本海上自卫队的巡逻机,低空飞行
3392,弗洛朗丝·帕利说：“我们决定签订一份关于研制高超音速飞机样机的合同。”她表示，研制的高超音速飞机将能够以超过6千公里/小时（5马赫）的速度飞行。第一次试飞“计划在2021年底之前举行”。,法国,高超音速飞机样机
3394,据法新社报道，法国已经在开发高超音速技术以增强其核武器库。,法国,高超音速技术
3402,测试中的美军“增程加农炮系统”,美军,“增程加农炮系统”
3403,【环球时报报道 特约记者 魏云峰】尽管南海局势日趋缓和，但有的国家看上去却不愿放过“挑事”的机会。美陆军部长马克·埃斯珀表示，美军正在研制一种射程可达1000英里（约合1610公里）的超级火炮，“它可以部署在南海周边地区，帮助受制于解放军“区域拒止”战略的美国海军“踹开大门”。,美军,超级火炮
3404,俄罗斯卫星网26日称，五角大楼官员表示，“作为对抗外国对手的最终手段，如果中美在南海海域摊牌，美国陆军研制中的射程1000英里的超级火炮可以摧毁中国海军舰艇”。美国陆军部长马克·埃斯珀近日在一次媒体圆桌会议上表示，美陆军正在发展的“增程加农炮系统”可以帮助美军实施战略或战术打击。“如果未来美国海军因为解放军的‘区域拒止’战略而无法进入南海，美国陆军能从附近的岛屿或其他基地，使用这种超远程火炮摧毁敌方的陆地或海上目标，瓦解对手的‘区域拒止’防御，为美国海军或海军陆战队踹门”。,美国陆军,射程1000英里的超级火炮
3405,埃斯珀以剑与矛的发展为例说，之所以会发展矛，是因为相对于对手的剑，矛能提供更远的攻击距离。美军如今研发超级火炮，是希望置身在对手的射程外，“打了敌人后，让对方没办法还手”。他还强调，就如同第五代隐形战机能突破对手防空圈为其他战机“踹门开路”一样，超级火炮也能帮地面部队或其他军种先行除去威胁。,美军,超级火炮
3407,接受《环球时报》采访的中国专家表示，各国陆军现役身管火炮受各种因素制约，射程超过100公里后很难大幅提升。另一方面，即便是美军研制中的电磁轨道炮最大射程也不过300公里左右，远达不到报道宣称的1000英里。因此埃斯珀提到的“增程加农炮系统”最终型号可能是一种远程火箭炮。《防务快讯》也提到，在“环太平洋-2018”多国联合演习中，美国陆军就使用“高机动性火箭炮系统（‘海马斯’系统）”发射了多枚火箭弹，成功击中一艘退役的坦克登陆舰。专家表示，随着技术的发展，远程火箭炮与导弹的差别逐步模糊，射程远达1000英里的“远程火箭炮”实质上就是一种中程弹道导弹。美陆军发展这样的远程打击武器，明显违反了《中导条约》，因此只能在“增程加农炮系统”的幌子下悄悄研究。,美军,电磁轨道炮
